Country,Value
Australia,1.534 
Austria,5.295 
Belgium,6.157 
Canada,2.282 
Chile,7.161 
Colombia,6.812 
CostaRica,5.152 
CzechRepublic,13.017 
Denmark,4.685 
Estonia,2.348 
Finland,1.258 
France,3.913 
Germany,6.777 
Greece,10.292 
Hungary,16.270 
Iceland,1.033 
Ireland,2.214 
Israel,5.759 
Italy,7.589 
Japan,5.988 
Korea,9.430 
Latvia,11.323 
Lithuania,8.788 
Luxembourg,3.356 
Mexico,8.228 
Netherlands,5.633 
NewZealand,1.345 
Norway,1.551 
Poland,16.240 
Portugal,4.030 
SlovakRepublic,13.725 
Slovenia,8.299 
Spain,3.904 
Sweden,1.327 
Switzerland,3.226 
Turkey,13.030 
UnitedKingdom,4.664 
UnitedStates,3.681 
Afghanistan,10.692 
Albania,11.140 
Algeria,14.910 
AmericanSamoa,4.617 
Andorra,3.072 
Angola,8.242 
AntiguaandBarbuda,8.030 
Argentina,6.616 
Armenia,24.243 
Azerbaijan,22.176 
Bahamas,7.705 
Bahrain,13.049 
Bangladesh,13.042 
Barbados,13.616 
Belarus,19.150 
Belize,7.253 
Benin,10.324 
Bermuda,2.909 
Bhutan,10.046 
Bolivia,10.410 
BosniaandHerzegovina,23.749 
Botswana,15.455 
Brazil,5.726 
BruneiDarussalam,2.857 
Bulgaria,27.323 
BurkinaFaso,9.587 
Burundi,4.031 
Cambodia,6.754 
Cameroon,18.803 
CaboVerde,15.281 
CentralAfricanRepublic,10.301 
Chad,9.813 
China(People'sRepublicof),22.383 
Comoros,4.036 
Congo,12.739 
DemocraticRepublicoftheCongo,5.405 
Côted'Ivoire,14.078 
Croatia,15.011 
Cuba,12.314 
Cyprus,7.327 
Djibouti,21.373 
Dominica,11.306 
DominicanRepublic,10.727 
Ecuador,6.811 
Egypt,28.358 
ElSalvador,7.369 
EquatorialGuinea,12.479 
Eritrea,17.494 
Ethiopia,3.689 
Fiji,11.750 
Gabon,12.865 
Gambia,8.410 
Georgia,17.667 
Ghana,16.182 
Greenland,3.161 
Grenada,12.507 
Guam,5.377 
Guatemala,6.961 
Guinea,9.979 
Guinea-Bissau,8.854 
Guyana,16.690 
Haiti,6.244 
Honduras,4.921 
India,22.171 
Indonesia,11.541 
Iran,14.080 
Iraq,20.668 
Jamaica,8.040 
Jordan,10.369 
Kazakhstan,14.607 
Kenya,4.661 
DemocraticPeople'sRepublicofKorea,20.264 
Kiribati,5.716 
Kuwait,12.685 
Kyrgyzstan,11.304 
LaoPeople'sDemocraticRepublic,6.518 
Lebanon,12.749 
Lesotho,15.621 
Liberia,5.640 
Libya,15.257 
Madagascar,3.738 
Malawi,3.488 
Malaysia,9.186 
Maldives,3.072 
Mali,10.209 
Malta,6.777 
MarshallIslands,7.534 
Mauritania,12.979 
Mauritius,13.390 
Micronesia,9.105 
Moldova,11.874 
Mongolia,21.883 
Montenegro,20.261 
Morocco,20.768 
Mozambique,2.981 
Myanmar,13.000 
Namibia,11.110 
Nauru,4.334 
Nepal,17.243 
Nicaragua,4.060 
Niger,7.888 
NorthMacedonia,30.112 
Nigeria,19.185 
NorthernMarianaIslands,5.638 
PalestinianAuthorityorWestBankandGazaStrip,10.751 
Oman,10.585 
Pakistan,23.843 
Palau,8.247 
Panama,4.427 
PapuaNewGuinea,5.673 
Paraguay,3.952 
Peru,7.356 
Philippines,9.564 
PuertoRico,3.417 
Qatar,8.576 
Romania,15.865 
Russia,11.329 
Rwanda,5.811 
SaintKittsandNevis,5.508 
SaintLucia,11.749 
SaintVincentandtheGrenadines,14.457 
Samoa,5.936 
SanMarino,3.439 
SaoTomeandPrincipe,7.529 
SaudiArabia,18.746 
Senegal,9.395 
Serbia,25.429 
Seychelles,11.152 
SierraLeone,9.950 
Singapore,5.822 
SolomonIslands,5.663 
Somalia,2.987 
SouthAfrica,14.773 
SriLanka,9.196 
Sudan,13.951 
Suriname,14.073 
SouthSudan,7.349 
Eswatini,11.510 
SyrianArabRepublic,16.741 
ChineseTaipei,11.260 
Tajikistan,17.793 
Tanzania,5.284 
Thailand,12.217 
Timor-Leste,5.410 
Togo,8.879 
Tonga,5.505 
TrinidadandTobago,16.798 
Tunisia,16.311 
Turkmenistan,19.521 
Tuvalu,5.644 
Uganda,5.652 
Ukraine,21.685 
UnitedArabEmirates,13.864 
Uruguay,4.530 
Uzbekistan,26.683 
Vanuatu,6.089 
Venezuela,11.201 
VietNam,10.185 
UnitedStatesVirginIslands,7.420 
Yemen,15.340 
Zambia,7.746 
Zimbabwe,8.316 
,